rank,user_id,name,city,country,score
1,17379,Frank Brown,São José,Brazil,0.5720458626747131
2,967,Jason Williams,Rusera,India,0.37929773330688477
3,46419,Robert Dannunzio,Injambakkam,India,0.3549134433269501
4,4656,Frances Yee,Chettipālaiyam,India,0.34071728587150574
5,84945,Jaime Parks,Bagdogra,India,0.32700127363204956
6,21794,Leanna Martin,Suriāpet,India,0.3102406859397888
7,50466,Kathleen Ferrari,Dharmavaram,India,0.28109967708587646
8,25258,Patsy Cody,Anakāpalle,India,0.26255735754966736
9,95809,Terrence Thomas,Kharar,India,0.1746116280555725
10,42547,Brenda Kraft,Rajpur,India,0.16392627358436584
